text,category
ARGENTINA.  The second floor of the U.S. embassy residence was struck by fifteen 9-mm machine-gun slugs fired from a passing automobile during the early morning hours.,terror
DOMINICAN REPUBLIC.  A homemade bomb was found behind books on the bookshelf in the USIS Lincoln Library in Santo Domingo.,terror
URUGUAY.  A Molotov cocktail was thrown outside the U.S. labor exhibit in Montevideo.  Limited damage.,terror
"CHILE.  An explosion from a single stick of dynamite went off on the patio of the Santiago Binational Center, causing $21,000 in damages.",terror
"UNITED STATES.  The Soviet embassy was bombed in the early morning. The bomb was placed by unknown individuals on the window sill of a ground floor office, which suffered considerable damage. There were no injuries.",terror
"ISRAEL.  Palestinian terrorists damaged a pipeline in the vicinity of Neot Hakikar, south of the Dead Sea.",terror
"ECUADOR.  A bomb exploded in the Quito Binational Center, causing extensive damage to three basement rooms.",terror
"ISRAEL.  Palestinian terrorists fired five mortar shells into the collective settlement at Masada, causing slight damage but no injuries.",terror
"COLOMBIA.  Three members of the Ejercito de Liberacion Nacional (ELN) hijacked a Colombian Avianca Airlines DC-4 plane with 28 passengers and 3 crewmen and ordered it flown to Cuba.  The plane, en route from Riohacha to Barranquilla, Colombia, was diverted and forced to fly to Santiago de Cuba.  Colombian guerrilla leader Ricardo Lara Parada was reported aboard the plane.  Lara was connected with the National Liberation Army, a pro-Castro guerrilla group operating in Colombia.  The plane and its passengers were returned to Colombia on March 6.",terror
ARGENTINA.  The USIS office in Rosario was machine-gunned presumably by a taxi that had been seen in the area.  A note left by the attackers identified themselves as the Frente de Liberacion Nacional del Vietnam del Sur.,terror
"CHILE.  A homemade bomb exploded in the women's restroom on the second floor of the U.S. consulate outside the USIS offices in Santiago, causing extensive damage.",terror
"GUATEMALA.  A bomb was thrown over the wall surrounding the U.S. Marines guards house in Guatemala City, causing damage but no injuries.",terror
AUSTRIA.  A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav consulate in Klagenfurt.,terror
CHILE.  The U.S. Cultural Center in Santiago was bombed by a device believed to be composed of three dynamite sticks. No injuries resulted.,terror
FRANCE.  Five French students bombed the Paris offices of Trans-World Airways before dawn.  The Chase Manhattan Bank and the Bank of America were also bombed.  They claimed to be protesting the U.S. involvement in the Vietnam war.,terror
FRANCE.  Five French students bombed the Paris offices of   Chase Manhattan Bank before dawn.  Trans-World Airways and the Bank of America were also bombed.   They claimed to be protesting the U.S. involvement in the Vietnam war.,terror
FRANCE.  Five French students bombed the Paris offices of   Bank of America a couple of hours before dawn.   Trans-World Airways and Chase Manhattan Bank were also bombed.  They claimed to be protesting the U.S. involvement in the Vietnam war.,terror
